Date;T (Celsius);P (mm)
2014.10.01;12,2;0
2014.10.02;15;0,1
2014.10.03;14,8;1,2
2014.10.04;14,2;0
2014.10.05;14;2
2014.10.06;12,8;0
2014.10.07;12;0
2014.10.08;13;0
2014.10.09;17,4;0
2014.10.10;19,2;0
2014.10.11;18,5;0
2014.10.12;16,9;0
2014.10.13;16,1;0
2014.10.14;19,1;0
2014.10.15;18,1;0
2014.10.16;15,1;8
2014.10.17;17,1;0,2
2014.10.18;16;0,2
2014.10.19;13,2;0
2014.10.20;12,5;0
2014.10.21;15;0
2014.10.22;14,9;0
2014.10.23;8,9;37
2014.10.24;8,1;26
2014.10.25;7;25
2014.10.26;6,8;0
2014.10.27;7,4;0
2014.10.28;4,8;0
2014.10.29;3,2;0
